sampleID,phenotype,value,ref_genome,settings,pheno,region,gc_bias,settings_verbose,trimming,genome
LP0025_01_L004,healthy_control,0.001835263,0memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_01_L004,healthy_control,0.010066812,30memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_01_L004,healthy_control,0.011291024,0memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_01_L004,healthy_control,0.002357272,30memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19decoy
LP0025_01_L004,healthy_control,0.011595303,0memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_01_L004,healthy_control,0.010785224,30memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19
LP0025_01_L004,healthy_control,0.003546583,0memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_01_L004,healthy_control,0.003130371,0memhg19decoy,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19decoy
LP0025_01_L004,healthy_control,0.001691473,0memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_01_L004,healthy_control,0.011267375,0memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_01_L004,healthy_control,0.011314688,0memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_01_L004,healthy_control,0.011640914,30memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Trimmed,hg19decoy
LP0025_01_L004,healthy_control,0.011998069,30memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_01_L004,healthy_control,0.002918072,30memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_01_L004,healthy_control,0.002177491,30memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
LP0025_01_L004,healthy_control,0.002543666,30memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_02_L004,healthy_control,-0.052774126,30memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Trimmed,hg19
LP0025_02_L004,healthy_control,-0.048345559,0memhg19,FalseDI26830XA,Healthy,SAEC,GC bias not corrected,Strict,Untrimmed,hg19
LP0025_02_L004,healthy_control,-0.047017085,0memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19
LP0025_02_L004,healthy_control,-0.04977321,0memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19decoy
LP0025_02_L004,healthy_control,-0.042940039,0memhg19decoy,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19decoy
LP0025_02_L004,healthy_control,-0.047005709,30memhg19,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19
LP0025_02_L004,healthy_control,-0.045182261,0memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Untrimmed,hg19decoy
LP0025_02_L004,healthy_control,-0.05350775,0memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Untrimmed,hg19
LP0025_02_L004,healthy_control,-0.052720247,30memhg19,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19
LP0025_02_L004,healthy_control,-0.042836523,30memhg19decoy,True40,Healthy,SAEC,GC bias corrected,Lenient,Trimmed,hg19decoy
LP0025_02_L004,healthy_control,-0.043009239,0memhg19,False40,Healthy,SAEC,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_02_L004,healthy_control,-0.055141468,30memhg19decoy,TrueDI26830XA,Healthy,SAEC,GC bias corrected,Strict,Trimmed,hg19decoy
